name,owner,language,size,updated_on,created_on,scm
transifex,stephane,,1748765,2012-06-24T17:52:34.860920+00:00,2008-09-05T16:17:26.971347+00:00,hg
model2,stephane,,1805217,2012-06-24T17:52:37.383146+00:00,2008-09-05T16:19:46.567810+00:00,hg
dozer,bbangert,,231783,2013-04-03T11:15:31.510592+00:00,2008-09-05T17:36:45.985259+00:00,hg
nom,chuck,,133486,2012-06-24T17:52:38.533322+00:00,2008-09-05T20:17:15.143846+00:00,hg
roars,undees,,17792,2012-06-24T17:52:39.558736+00:00,2008-09-06T00:55:40.261553+00:00,hg
hg-pbranch,parren,python,6811759,2012-11-18T06:35:46.630981+00:00,2008-09-06T08:24:00.443290+00:00,hg
Wacken 08,MegaMo,,3098,2012-06-24T17:52:39.959069+00:00,2008-09-06T09:08:25.559412+00:00,hg
epoker,sphynx,,102660,2012-06-24T17:52:40.719217+00:00,2008-09-06T10:17:25.134123+00:00,hg
mercurial-crew-stable,mirror,,16887188,2011-09-30T01:14:22.026583+00:00,2008-09-06T13:44:01.146532+00:00,hg
Twonk,rpj,,168928,2012-06-24T17:52:42.402023+00:00,2008-09-06T20:22:42+00:00,hg
bash,nghidav,,3079,2012-06-24T17:52:43.216914+00:00,2008-09-07T11:04:59.102721+00:00,hg
packaging,nghidav,,3097,2012-06-24T17:52:43.617713+00:00,2008-09-07T11:05:58.637299+00:00,hg
boot,nghidav,,3079,2012-06-24T17:52:44.035466+00:00,2008-09-07T11:08:59.923355+00:00,hg
parsers,nghidav,,3089,2012-06-24T17:52:44.438074+00:00,2008-09-07T11:12:12.910539+00:00,hg
constraints,nghidav,,3104,2012-06-24T17:52:44.813814+00:00,2008-09-07T11:13:34.234477+00:00,hg
services,nghidav,,3094,2012-06-24T17:52:45.224512+00:00,2008-09-07T11:14:35.327239+00:00,hg
aws,nghidav,,3075,2012-06-24T17:52:46.016956+00:00,2008-09-07T11:19:03.240503+00:00,hg
runmany,nghidav,,3089,2012-06-24T17:52:46.403180+00:00,2008-09-07T12:12:24.206468+00:00,hg
dotfiles,blackbrass88,,5390,2012-06-24T17:52:47.924942+00:00,2008-09-07T20:34:51.265728+00:00,hg
community_codeswarm,ArneBab,,583365,2012-06-24T17:52:48.528631+00:00,2008-09-07T20:37:16.954010+00:00,hg
Amas,FernandoVezzosi,,914017,2012-06-24T17:52:51.206923+00:00,2008-09-07T21:41:16.564922+00:00,hg
compilador-utp,bogdano,,877329,2012-06-24T17:52:55.822105+00:00,2008-09-08T02:13:29.949837+00:00,hg
Pheenix,itay,,6369,2012-06-24T17:52:56.503732+00:00,2008-09-08T05:55:32.339405+00:00,hg
vbox-utils,max,,8163,2012-06-24T17:52:56.997748+00:00,2008-09-08T08:50:27.972030+00:00,hg
hghost,nghidav,,3086,2012-06-24T17:52:57.392832+00:00,2008-09-08T10:01:58.159578+00:00,hg
ompc,juricap,,638061,2014-01-05T23:41:33.566339+00:00,2008-09-08T11:53:12.545701+00:00,hg
Pootle,translate_org_za,,5075783,2012-06-24T17:53:02.863924+00:00,2008-09-08T12:01:41.886210+00:00,hg
MailCore,mronge,,13264138,2011-09-16T07:08:36.662626+00:00,2008-09-09T01:45:56.341358+00:00,hg
xnu-emunexgen,mercurysquad,,21677,2012-06-24T17:53:04.117219+00:00,2008-09-09T13:39:47.366350+00:00,hg
anyvc,RonnyPfannschmidt,,491616,2012-12-23T15:34:39.661467+00:00,2008-09-09T19:29:43.771235+00:00,hg
pb,boredzo,,93301,2011-09-17T03:52:25.715435+00:00,2008-09-09T23:35:21.787292+00:00,hg
sptest,sp,,51073,2012-06-24T17:53:04.569083+00:00,2008-09-10T06:05:17.462660+00:00,hg
End Of The World,kkubasik,,18016,2011-09-17T07:57:15.556284+00:00,2008-09-10T07:45:21.724651+00:00,hg
endoftheworld_weisjohn_2,weisjohn,,14102,2011-09-17T07:57:15.572410+00:00,2008-09-10T09:54:42.993185+00:00,hg
